,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/imvip,International Machine Vision and Image Processing Conference,,IMVIP,
conf/imvirell,"ImViReThe Impact of Virtual, Remote, and Real Logistics Labs",,ImViReLL,
conf/imycs,International Meeting of Young Computer Scientists,,IMYCS,
conf/inap,Declarative Programming Days,,KDPD,
conf/inc,International Network Conference,,INC,13.0
conf/incdm,Industrial Conference on Data Mining,,ICDM,11.0
conf/incos,INCoIntelligent Networking and Collaborative Systems,,INCoS,11.0
conf/indc,Information Network and Data Communication,,INDC,
conf/indiaSE,India Software Engineering Conference,,ISEC,11.0
conf/indin,Industrial Informatics,,INDIN,46.0
conf/indocrypt,International Conference on Cryptology in India,,INDOCRYPT,14.0
conf/ine,Intelligence at the Network Edge,,,
conf/inet,Internet Society Conference,,INET,
conf/inetbib,InetBib,,,
conf/inex,INitiative for the Evaluation of XML Retrieval,,INEX,13.0
conf/infinity,Verification of Infinite-State Systems,,INFINITY,
conf/infocom,INFOCOM (IEEE),,INFOCOM,76.0
conf/informatiktage,Informatiktage,,,5.0
conf/inforsid,INFORSID,,,6.0
conf/infoscale,InfoscaleScalable Information Systems,,Infoscale,
conf/infoseccd,InfoSecInformation Security Curriculum Development,,InfoSecCD,
conf/infosechicomnet,InfoSecHiComNetSecurity Aspects in Information Technology,,InfoSecHiComNet,
conf/infovis,IEEE Symposium on Information Visualization,,INFOVIS,
conf/infrasec,InfraSecInfrastructure Security,,InfraSec,
conf/infrkm,Capaian Maklumat dan Pengurusan Pengetahuan (Information Retrieval & Knowledge Management),,CAMP,
conf/inlg,International Conference on Natural Language Generation,,INLG,
conf/innovations,Innovations in Theoretical Computer Science,,ITCS,
conf/inoc,International Network Optimization Conference,,INOC,
conf/inria,INRIA,,,
conf/instinctive,Instintive Computing Workshop,,ICW,
conf/intellcomm,Intelligence in Communication Systems,,INTELLCOMM,
conf/intelligent,International Symposium on Intelligent Informatics,,ISI,6.0
conf/intensive,International Conference on Intensive Applications and Services,,INTENSIVE,70.0
conf/intenv,Intelligent Environments,,IE,13.0
conf/interact,International Conference on Human-Computer Interaction,,INTERACT,24.0
conf/interaction,International Conference on Interaction Sciences,,ICIS,13.0
conf/interop,Interoperating Geographic Information Systems,,INTEROP,
conf/intersense,InterSenseIntegrated Internet Ad Hoc and Sensor Networks,,InterSense,
conf/interspeech,Conference of the International Speech Communication Association,,INTERSPEECH,39.0
conf/interval,Interval Mathematics,,,
conf/interworking,INTERWORKING,,,
conf/intetain,Intelligent Technologies for Interactive Entertainment,,INTETAIN,
conf/intrust,International Conference on Trusted Systems,,INTRUST,
conf/iolts,International On-Line Testing Workshop,,IOLTW,
conf/iopads,I/O in Parallel and Distributed Systems,,IOPADS,
conf/iot,The Internet of Things,,IOT,
conf/iota,IOTA Programming System,,IOTA,
conf/iov,Internet of Vehicles,,IOV,
conf/ipas,Image Processing: Algorithms and Systems,,IPAS,
conf/ipaw,International Provenance and Annotation Workshop,,IPAW,
conf/ipc,Intelligent Pervasive Computing,,IPC,
conf/ipcai,Information Processing in Computer-Assisted Interventions,,IPCAI,
conf/ipcat,Information Processign in Cells and Tissues,,IPCAT,
conf/ipcc,International Professional Communication Conference,,IPCC,7.0
conf/ipccc,"International Performance, Computing, and Communications Conference",,IPCCC,10.0
conf/ipco,Integer Programming and Combinatorial Optimization,,IPCO,15.0
conf/ipcv,"Image Processing, Computer Vision, & Pattern Recognition",,IPCV,8.0
conf/ipin,Indoor Positioning and Indoor Navigation,,IPIN,19.0
conf/ipmi,Information Processing in Medical Imaging,,IPMI,21.0
conf/ipmu,Information Processing and Management of Uncertainty,,IPMU,12.0
conf/ipom,IP Operations and Management,,IPOM,
conf/ipps,Nature Inspired Distributed Computing,,NIDISC,
conf/ipsen,IPSEN Approach,,IPSEN,
conf/ipsj,IPSJ Meeting,,IPSJ,11.0
conf/ipsn,Information Processing in Sensor Networks,,IPSN,36.0
conf/ipsy,Informatics and Psychology,,,
conf/ipta,Image Processing Theory Tools and Applications,,IPTA,9.0
conf/iptc,Information Processing and Trusted Computing,,IPTC,6.0
conf/iptcomm,"IPTCommPrinciples, Systems and Applications of IP Telecommunications",,IPTComm,
conf/iptps,International Workshop on Peer-to-Peer Systems,,IPTPS,
conf/iq,International Conference on Information Quality,,ICIQ,
conf/iqis,Quality in Databases,,QDB,
conf/ir,Information Retrieval,,,49.0
conf/iral,Information Retrieval with Asian Languages,,IRAL,
conf/ircdl,Italian Research Conference on Digital Library Management Systems,,IRCDL,
conf/irep,Intermediate Representations,,IR,29.0
conf/irfc,Information Retrieval Facility Conference,,IRFC,
conf/iri,Workshop on Issues & Challenges in Social Computing,,WICSOC,17.0
conf/irma,Information Resources Management Association International Conference,,IRMA,
conf/iros,Intelligent RObots and Systems,,IROS,45.0
conf/irregular,Workshop on Parallel Algorithms for Irregularly Structured Problems,,IRREGULAR,
conf/is,Intelligent Systems,,IS,31.0
conf/is4th,International Sympoium on Surgery Simulation and Soft Tissue Modeling,,IS4TM,
conf/isa,International Symposium on Algorithms,,ISA,
conf/isaac,International Symposium on Algorithms and Computation,,ISAAC,19.0
conf/isads,International Symposium on Autonomous Decentralized Systems,,ISADS,12.0
conf/isaim,International Symposium on Artificial Intelligence and Mathematics,,ISAIM,
conf/isami,ISAmInternational Symposium on Ambient Intelligence,,ISAmI,
conf/isarcs,International Symposium on Architecting Critical Systems,,ISARCS,
conf/isas,International Service Availability Symposium,,ISAS,
conf/isas-sci,"Multi-Conference on Systemics, Cybernetics and Informatics",,ISAS-SCI,
conf/isbast,International Symposium on Biometrics and Security Technologies,,ISBAST,
conf/isbi,International Symposium on Biomedical Imaging,,ISBI,26.0
conf/isbms,International Symposium on Biomedical Simulation,,ISBMS,
conf/isbra,International Symposium on Bioinformatics Research and Applications,,ISBRA,
conf/isca,International Symposium on Computer Architecture,,ISCA,53.0
conf/iscas,International Symposium on Circuits and Systems,,ISCAS,27.0
conf/iscc,International Symposium on Computers and Communications,,ISCC,18.0
conf/iscid,International Symposium on Computational Intelligence and Design,,ISCID,7.0
conf/iscide,IScIntelligent Science and Intelligent Data Engineering,,IScIDE,
conf/iscis,International Symposium on Computer and Information Sciences,,ISCIS,12.0
conf/iscn,International Symposium on Computer Networks,,ISCN,
conf/iscnz,Information Systems Conference of New Zealand,,ISCNZ,
conf/isco,Information Systems Concepts,,ISCO,
conf/iscope,International Symposium on Computing in Object-Oriented Parallel Environments,,ISCOPE,
conf/iscopt,International Symposium on Combinatorial Optimization,,ISCO,
conf/iscram-med,ISCRAM-medInformation Systems for Crisis Response and Management in Mediterranean Countries,,ISCRAM-med,
conf/iscsct,International Symposium on Computer Science and Computational Technology,,ISCSCT,
conf/iscslp,International Symposium on Chinese Spoken Language Processing,,ISCSLP,6.0
conf/isd,Integrated Spatial Databases,,ISD,
conf/isda,Intelligent Systems Design and Applications,,ISDA,15.0
conf/isdb,Information Systems and Databases,,ISDB,
conf/isdevel,Information Systems Development,,ISD,7.0
conf/isdf,Information Security and Digital Forensics,,ISDF,
conf/isdo,Infrastructure for Dynamic Business-to-Business Service Outsourcing,,ISDO,
conf/isdoc,Information Systems and Design of Communication,,ISDOC,
conf/isec,International Symposium on Electronic Commerce,,ISEC,11.0
conf/isecs,International Symposium on Electronic Commerce and Security,,ISECS,11.0
conf/iser,International Symposium on Experimental Robotics,,ISER,13.0
conf/isese,International Symposium on Empirical Software,,ISESE,24.0
conf/isess,International Symposium on Environmental Software Systems,,ISESS,7.0
conf/iseud,International Symposium on End-User Development,,IS-EUD,
conf/isgt,Innovative Smart Grid Technologies Conference,,ISGT,20.0
conf/isgteurope,ISGT EuropeInnovative Smart Grid Technologies ConferenceEurope,,ISGT Europe,20.0
conf/ishpc,International Symposium on High Performance Computing,,ISHPC,
conf/isi,Joint Intelligence and Security Informatics Conference,,JISIC,
conf/isia,International Symposium on Information and Automation,,ISIA,3.0
conf/isic,International Symposium on Independent Computing,,ISIC,16.0
conf/isica,International Symposium on Intelligence Computation and Applications,,ISICA,
conf/isict,International Symposium on Information and Communication Technologies,,ISICT,
conf/isim,Information System Implementation and Modeling,,ISIM,
conf/isip,International Symposium on Information Processing,,ISIP,36.0
conf/isipers,"Information Search, Integration and Personalization",,ISIP,6.0
conf/isips,Interdisciplinary Studies in Information Privacy and Security,,ISIPS,
conf/isipta,International Symposium on Imprecise Probabilities and Their Applications,,ISIPTA,
conf/isit,International Symposium on Information Theory,,ISIT,49.0
conf/isita,International Symposium on Information Theory and its Applications,,ISITA,8.0
conf/isiwi,Internationales Symposium für Informationswissenschaft,,ISI,6.0
conf/iski,IS/Workshop on Information Systems and Artificial Intelligence,,IS/KI,
conf/isko,International Society for Knowledge Organization Conferences & Workshops,,ISKO,
conf/islped,International Symposium on Low Power Electronics and Design,,ISLPED,24.0
conf/ism,International Symposium on Multimedia,,ISM,14.0
conf/ismar,International Workshop on Augmented Reality,,IWAR,
conf/ismb,Intelligent Systems in Molecular Biology,,ISMB,
conf/ismda,International Symposium on Medical Data Analysis,,ISBMDA,
conf/ismir,International Symposium/Conference on Music Information Retrieval,,ISMIR,31.0
conf/ismis,International Syposium on Methodologies for Intelligent Systems,,ISMIS,12.0
conf/ismm,International Symposium on Mathematical Morphology and Its Application to Signal and Image Processing,,ISMM,
conf/isms,International Symposium on Medical Simulation,,ISMS,
conf/ismvl,International Symposium on Multiple-Valued Logic,,ISMVL,11.0
conf/isn,IS&Intelligence and Services in Networks,,IS&N,2.0
conf/isnn,International Symposium on Neural Networks,,ISNN,11.0
conf/isola,ISoLeveraging Applications of Formal Methods,,ISoLA,
conf/isooms,International Symposium on Object-Oriented Methodologies and Systems,,ISOOMS,
conf/isorc,International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,,ISORC,
conf/isotas,International Symposium on Object Technologies for Advanced Software,,ISOTAS,
conf/ispa,International Symposium on Parallel and Distributed Processing with Applications,,ISPA,13.0
conf/ispacs,Intelligent Signal Processing and Communication Systems,,ISPACS,9.0
conf/ispan,"International Symposium on Parallel Architectures, Algorithms and Networks",,ISPAN,
conf/ispass,International Symposium on Performance Analysis of Systems and Software,,ISPASS,20.0
conf/ispd,International Symposium on Physical Design,,ISPD,17.0
conf/ispdc,International Symposium on Parallel and Distributed Computing,,ISPDC,10.0
conf/ispe,ISPE ISPE International Conference on Concurrent Engineering,,ISPE CE,6.0
conf/ispec,Information Security Practice and Experience,,ISPEC,14.0
conf/ispw,International Software Process Workshop,,SPW,
conf/isqed,International Symposium on Quality Electronic Design,,ISQED,18.0
conf/isr,International Symposium on Robotics,,ISR,13.0
conf/isrr,International Symposium of Robotics Research,,IRSS,
conf/issa,Information Security for South Africa,,ISSA,8.0
conf/issac,International Symposium on Symbolic and Algebraic Computation,,ISSAC,20.0
conf/issads,International School and Symposium on Advanced Distributed Systems,,ISSADS,
conf/isscc,International Solid-State Circuits Conference,,ISSCC,59.0
conf/isse,Information Security Solutions Europe,,ISSE,
conf/issep,Informatics in Secondary Schools,,ISSEP,
conf/issnip,"Intelligent Sensors, Sensor Networks and Information Processing",,ISSNIP,14.0
conf/issoc,ISSoInternational Symposium on System-on-Chip,,ISSoC,
conf/isspa,"Information Sciences, Signal Processing and their Applications",,ISSPA,
conf/isspit,International Symposium on Signal Processing and Information Technology,,ISSPIT,11.0
conf/issre,International Symposium on Software Reliability Engineering,,ISSRE,18.0
conf/isss,International Symposium on Systems Synthesis,,ISSS,6.0
conf/isss2,International Symposium on Software SecurityTheories and Systems,,ISSS,6.0
conf/issse,International Summer Schools on Software Engineering,,ISSSE,
conf/issta,"Symposium on Testing, Analysis, and Verification",,TAV,
conf/ista,International United Information Systems Conference,,UNISCON,
conf/istar,iStar,,,
conf/istcs,Israel Symposium on Theory of Computing Systems,,ISTCS,
conf/isuvr,International Symposium on Ubiquitous Virtual Reality,,ISUVR,
conf/isvc,International Symposium on Visual Computing,,ISVC,15.0
conf/isvd,International Symposium on Voronoi Diagrams in Science and Engineering,,ISVD,9.0
conf/isvlsi,IEEE Computer Society Annual Symposium on VLSI,,ISVLSI,15.0
conf/isw,Information Security Workshop,,ISW,16.0
conf/iswc,International Symposium on Wearable Computers,,ISWC,16.0
conf/iswcs,International Symposium on Wireless Communication Systems,,ISWCS,15.0
conf/isws,International Symposium on Web Services and Applications,,ISWS,
conf/iswsa,Intelligent Semantic Web-Services and Applications,,ISWSA,
conf/ita,Information Theory and Applications,,ITA,24.0
conf/itat,Conference on Theory and Practice of Information Technologies,,ITAT,
conf/itbam,Information Technology in Bio- and Medical Informatics,,ITBAM,
